"","eventid","country_txt","region_txt","success","suicide","attacktype1_txt","targtype1_txt","nkill","nkillter","nwound","gdp"
"10618",201707170020,"West Bank and Gaza Strip","Middle East & North Africa",0,0,"Unarmed Assault","Military",0,0,0,"12136735452"
"6467",201701040040,"Myanmar","Southeast Asia",1,0,"Bombing/Explosion","Military",0,0,1,"79495831533"
"10730",201707070027,"Yemen","Middle East & North Africa",1,0,"Bombing/Explosion","Military",4,0,5,"19564086828"
"4035",201706060047,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",9,0,7,"2.08595E+11"
"5963",201705080011,"Kenya","Sub-Saharan Africa",1,0,"Bombing/Explosion","Military",0,0,6,"58109837754"
"4613",201706120004,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"6185",201712130016,"Libya","Middle East & North Africa",1,0,"Armed Assault","Military",2,0,0,"46627921660"
"4645",201708280045,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,1,"2.08595E+11"
"2415",201704030025,"India","South Asia",1,0,"Armed Assault","Private Citizens & Property",1,0,0,"2.63095E+12"
"913",201711130015,"Afghanistan","South Asia",1,0,"Armed Assault","Military",15,10,12,"20744935406"
"6842",201707220012,"Nigeria","Sub-Saharan Africa",1,0,"Armed Assault","Terrorists/Non-State Militia",4,0,0,"4.60457E+11"
"4627",201706020006,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"781",201701290019,"Afghanistan","South Asia",1,0,"Bombing/Explosion","Business",0,0,2,"20744935406"
"8612",201703230003,"Philippines","Southeast Asia",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",-999,0,-999,"3.03356E+11"
"3491",201701020018,"Iraq","Middle East & North Africa",1,0,"Unknown","Military",4,0,12,"2.08595E+11"
"8126",201709280022,"Philippines","Southeast Asia",0,0,"Armed Assault","Police",0,0,0,"3.03356E+11"
"6269",201711280034,"Mali","Sub-Saharan Africa",1,0,"Bombing/Explosion","Government (Diplomatic)",0,0,0,"14146600519"
"7605",201704090031,"Pakistan","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.40857E+11"
"4581",201705180062,"Iraq","Middle East & North Africa",0,1,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"3686",201711200005,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Business",0,0,4,"2.08595E+11"
"8142",201708070013,"Philippines","Southeast Asia",1,0,"Bombing/Explosion","Military",2,0,7,"3.03356E+11"
"4548",201705120036,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,2,"2.08595E+11"
"6015",201707070018,"Kenya","Sub-Saharan Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",4,0,-999,"58109837754"
"1246",201711090008,"Afghanistan","South Asia",1,0,"Bombing/Explosion","Police",5,0,0,"20744935406"
"3249",201701240027,"India","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.63095E+12"
"5133",201706070001,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Business",0,0,4,"2.08595E+11"
"3697",201703260025,"Iraq","Middle East & North Africa",0,1,"Assassination","Government (General)",1,1,1,"2.08595E+11"
"6439",201703260020,"Myanmar","Southeast Asia",1,0,"Bombing/Explosion","Religious Figures/Institutions",0,0,0,"79495831533"
"816",201710250027,"Afghanistan","South Asia",1,0,"Armed Assault","Military",4,4,13,"20744935406"
